,player,position,age,team,games,games_started,mins_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
354,K.J. McDaniels,SF,23,BRK,20,0,14.7,2.3,5.1,0.455,0.6,2.0,0.282,1.8,3.1,0.565,0.51,1.2,1.2,0.821,0.5,2.2,2.6,0.5,0.6,0.5,1.0,1.3,6.3
355,Doug McDermott,SF,25,TOT,66,5,22.8,3.4,7.5,0.447,1.2,3.2,0.37,2.2,4.4,0.502,0.524,1.1,1.1,0.845,0.3,2.4,2.7,0.9,0.2,0.1,0.6,1.2,9.0
356,Doug McDermott,SF,25,CHI,44,4,24.5,3.8,8.5,0.445,1.3,3.4,0.373,2.5,5.1,0.493,0.52,1.3,1.3,0.881,0.3,2.6,3.0,1.0,0.3,0.1,0.7,1.3,10.2
357,Doug McDermott,SF,25,OKC,22,1,19.5,2.5,5.6,0.452,1.0,2.6,0.362,1.6,3.0,0.53,0.536,0.5,0.5,0.706,0.3,2.0,2.2,0.6,0.1,0.0,0.3,1.0,6.6
358,JaVale McGee,C,29,GSW,77,10,9.6,2.7,4.1,0.652,0.0,0.0,0.0,2.7,4.1,0.658,0.652,0.7,0.7,0.505,1.3,1.9,3.2,0.2,0.2,0.9,0.5,1.4,6.1
359,Rodney McGruder,SG,25,MIA,78,65,25.2,2.4,5.9,0.413,0.9,2.8,0.332,1.5,3.1,0.488,0.492,0.6,0.6,0.62,1.2,2.1,3.3,1.6,0.6,0.2,0.7,1.8,6.4
360,Ben McLemore,SG,23,SAC,61,26,19.3,3.0,6.9,0.43,1.1,2.8,0.382,1.9,4.1,0.462,0.507,1.1,1.1,0.753,0.3,1.8,2.1,0.8,0.5,0.1,1.0,1.8,8.1
361,Jordan McRae,SG,25,CLE,37,4,10.4,1.6,4.1,0.387,0.5,1.4,0.353,1.1,2.7,0.404,0.447,0.7,0.7,0.794,0.2,0.9,1.1,0.5,0.2,0.2,0.4,0.8,4.4
362,Josh McRoberts,PF,29,MIA,22,14,17.3,2.0,5.4,0.373,0.6,1.4,0.419,1.4,4.0,0.356,0.428,0.3,0.3,0.667,1.0,2.3,3.4,2.3,0.5,0.2,1.0,1.4,4.9
363,Jodie Meeks,SG,29,ORL,36,10,20.5,2.9,7.1,0.402,1.6,3.8,0.409,1.3,3.3,0.395,0.512,1.8,1.8,0.878,0.1,2.0,2.1,1.3,0.9,0.1,1.0,1.1,9.1
364,Salah Mejri,C,30,DAL,73,11,12.4,1.2,1.9,0.642,0.0,0.0,0.333,1.2,1.8,0.649,0.646,0.5,0.5,0.59,1.3,2.9,4.2,0.2,0.4,0.8,0.5,2.1,2.9
365,Jordan Mickey,PF,22,BOS,25,1,5.6,0.6,1.4,0.441,0.0,0.0,0.0,0.6,1.3,0.455,0.441,0.3,0.3,0.571,0.5,0.8,1.4,0.3,0.1,0.2,0.4,0.5,1.5
366,Khris Middleton,SF,25,MIL,29,23,30.7,5.2,11.5,0.45,1.6,3.6,0.433,3.6,7.9,0.459,0.518,2.8,2.8,0.88,0.4,3.9,4.2,3.4,1.4,0.2,2.2,2.7,14.7
367,C.J. Miles,SF,29,IND,76,29,23.4,3.7,8.5,0.434,2.2,5.4,0.413,1.5,3.1,0.471,0.565,1.1,1.1,0.903,0.4,2.6,3.0,0.6,0.6,0.3,0.5,2.0,10.7
368,Mike Miller,SF,36,DEN,20,0,7.6,0.5,1.2,0.391,0.4,1.0,0.4,0.1,0.2,0.333,0.565,0.1,0.1,1.0,0.1,1.8,1.9,1.1,0.1,0.0,0.7,0.5,1.4
369,Patty Mills,PG,28,SAS,80,8,21.9,3.4,7.8,0.44,1.8,4.4,0.414,1.6,3.3,0.474,0.558,0.8,0.8,0.825,0.3,1.5,1.8,3.5,0.8,0.0,1.3,1.4,9.5
370,Elijah Millsap,SG,29,PHO,2,0,11.5,0.5,3.5,0.143,0.0,1.0,0.0,0.5,2.5,0.2,0.143,0.5,0.5,0.5,1.5,1.5,3.0,0.5,0.0,0.0,1.0,1.0,1.5
371,Paul Millsap,PF,31,ATL,69,67,34.0,6.2,14.1,0.442,1.1,3.5,0.311,5.1,10.6,0.486,0.481,4.5,4.5,0.768,1.6,6.1,7.7,3.7,1.3,0.9,2.3,2.7,18.1
372,Nikola Mirotic,PF,25,CHI,70,15,24.0,3.7,8.9,0.413,1.8,5.4,0.342,1.8,3.5,0.52,0.516,1.4,1.4,0.773,0.9,4.6,5.5,1.1,0.8,0.8,1.1,1.8,10.6
373,Greg Monroe,C,26,MIL,81,0,22.5,4.8,9.0,0.533,0.0,0.0,0.0,4.8,8.9,0.536,0.533,2.2,2.2,0.741,2.1,4.5,6.6,2.3,1.1,0.5,1.7,2.1,11.7
374,E'Twaun Moore,SG,27,NOP,73,22,24.9,3.9,8.5,0.457,1.1,2.8,0.37,2.8,5.6,0.501,0.519,0.8,0.8,0.77,0.5,1.6,2.1,2.2,0.7,0.4,0.8,1.8,9.6
375,Marcus Morris,SF,27,DET,79,79,32.5,5.3,12.7,0.418,1.5,4.5,0.331,3.8,8.2,0.466,0.477,1.8,1.8,0.784,1.0,3.7,4.6,2.0,0.7,0.3,1.1,2.1,14.0
376,Markieff Morris,PF,27,WAS,76,76,31.2,5.3,11.7,0.457,0.9,2.6,0.362,4.4,9.1,0.483,0.497,2.4,2.4,0.837,1.4,5.1,6.5,1.7,1.1,0.6,1.7,3.3,14.0
377,Anthony Morrow,SG,31,TOT,49,7,14.6,2.0,5.1,0.389,0.8,2.7,0.308,1.2,2.4,0.479,0.47,0.7,0.7,0.919,0.2,0.4,0.6,0.5,0.5,0.0,0.1,0.9,5.5
378,Anthony Morrow,SG,31,OKC,40,7,15.7,2.2,5.6,0.386,0.9,3.0,0.294,1.3,2.6,0.49,0.464,0.6,0.6,0.885,0.3,0.5,0.7,0.5,0.6,0.1,0.2,1.0,5.8
379,Anthony Morrow,SG,31,CHI,9,0,9.7,1.3,3.2,0.414,0.7,1.6,0.429,0.7,1.7,0.4,0.517,1.2,1.2,1.0,0.1,0.1,0.2,0.7,0.2,0.0,0.0,0.4,4.6
